extracted_term,hpo_term,hpo_id,negated
abnormal bladder function,None detected,None,False
abnormal cognition,None detected,None,False
abnormal eye movements,abnormal eye movements,HP:0000496,False
abnormal eye movements or nystagmus,abnormal eye movements,HP:0000496,False
abnormal eye movements or nystagmus,nystagmus,HP:0000639,False
abnormal eye signs,abnormal eye,HP:0000478,False
abnormal gait,abnormal gait,HP:0001288,False
abnormal hand posturing,None detected,None,False
abnormal horizontal pursuit,None detected,None,False
abnormal ocular movements,abnormal ocular movements,HP:0000496,False
abnormal postures,None detected,None,False
abnormal posturing,abnormal posturing,HP:0002533,False
abnormal saccadic movements,None detected,None,False
abnormal saccadic pursuit,None detected,None,False
abnormal shuffling gait,shuffling gait,HP:0002362,False
abnormal smooth pursuit,None detected,None,False
abnormal spastic gait,spastic gait,HP:0002064,False
abnormal speech,None detected,None,False
abnormal steppage gait,steppage gait,HP:0003376,False
abnormal tongue shape,abnormal tongue,HP:0000157,False
abnormal trunk posture,None detected,None,False
abnormal writing,None detected,None,False
abolished deep tendon reflexes,None detected,None,False
abolished reflexes in all 4 limbs,None detected,None,False
abolished tendon reflexes,None detected,None,False
abolition of upgaze,None detected,None,False
absence of distal deep tendon reflexes,None detected,None,False
absence of speech,None detected,None,False
absence seizures,absence seizures,HP:0002121,False
absent Achilles reflexes,None detected,None,False
absent Achilles tendon reflex,None detected,None,False
absent Achilles tendon reflexes,None detected,None,False
absent ankle jerk reflexes,None detected,None,False
absent ankle jerks,None detected,None,False
absent ankle reflexes,absent ankle reflexes,HP:0003438,False
absent corneal reflex,None detected,None,False
absent deep tendon reflexes,absent deep tendon reflexes,HP:0001284,False
absent deep tendon reflexes in all extremities,absent deep tendon reflexes,HP:0001284,False
absent deep tendon reflexes in the legs,absent deep tendon reflexes,HP:0001284,False
absent detrusor contractility,None detected,None,False
absent gag reflex,None detected,None,False
absent knee jerk reflexes,None detected,None,False
absent language,None detected,None,False
absent muscle stretch reflexes,None detected,None,False
absent or limited speech,None detected,None,False
absent reflexes,None detected,None,False
absent reflexes at the ankle,None detected,None,False
absent reflexes at the ankles,None detected,None,False
absent sensory nerve action potentials,None detected,None,False
absent speech,absent speech,HP:0001344,False
absent tendon reflexes,absent tendon reflexes,HP:0001284,False
acetabular dysplasia,acetabular dysplasia,HP:0008807,False
achalasia,achalasia,HP:0002571,False
Achilles contractures,contractures,HP:0001371,False
Achilles tendon contractures,achilles tendon contractures,HP:0001771,False
acquired microcephaly,acquired microcephaly,HP:0005484,False
acropathy,None detected,None,False
action tremor,action tremor,HP:0002345,False
action tremor of the hand,action tremor,HP:0002345,False
action tremor of the hands,action tremor,HP:0002345,False
acute onset of dysarthria,dysarthria,HP:0001260,False
acute respiratory stridor,stridor,HP:0010307,False
adducted thumbs,adducted thumbs,HP:0001181,False
afebrile seizures,None detected,None,False
aggression,aggression,HP:0000718,False
aggressive behaviors,None detected,None,False
agraphia,None detected,None,False
akathisia,None detected,None,False
akinesia,akinesia,HP:0002304,False
akinetic rigid parkinsonism,parkinsonism,HP:0001300,False
akinetic rigid syndrome,None detected,None,False
akinetic rigidity,rigidity,HP:0002063,False
altered finger nose test,None detected,None,False
altered heel knee test,None detected,None,False
amblyopia,amblyopia,HP:0000646,False
ambulation with walker,None detected,None,False
amyotrophy of the forearms,amyotrophy,HP:0003202,False
amyotrophy of the hands,amyotrophy,HP:0003202,False
amyotrophy of the lower legs,amyotrophy,HP:0003202,False
anarthria,anarthria,HP:0002425,False
ankle areflexia,areflexia,HP:0001284,False
ankle clonus,ankle clonus,HP:0011448,False
ankle contractures,ankle contractures,HP:0006466,False
ankle foot orthotics,None detected,None,False
ankle joint instability,joint instability,HP:0001388,False
ankle sprains,None detected,None,False
anosmia,anosmia,HP:0000458,False
anteverted nostrils,anteverted nostrils,HP:0000463,False
anxiety,anxiety,HP:0000739,False
apathy,apathy,HP:0000741,False
aphasia,aphasia,HP:0002381,False
aphonia,None detected,None,False
appendicular ataxia,appendicular ataxia,HP:0002070,False
appendicular dysmetria,dysmetria,HP:0001310,False
appendicular hypertonia,hypertonia,HP:0001276,False
appendicular spasticity,spasticity,HP:0001257,False
apraxia,apraxia,HP:0002186,False
apraxia of eyelid opening,apraxia,HP:0002186,False
arachnodactyly,arachnodactyly,HP:0001166,False
arched eyebrows,arched eyebrows,HP:0002553,False
arched feet,None detected,None,False
arching back,None detected,None,False
arching of the neck,None detected,None,False
areflexia,areflexia,HP:0001284,False
areflexia in the lower limbs,areflexia,HP:0001284,False
areflexia of the lower limbs,areflexia of the lower limbs,HP:0002522,False
Argyll Robertson pupils,None detected,None,False
arm involvement,None detected,None,False
arm tremor,tremor,HP:0001337,False
arrest and regression of motor function,None detected,None,False
arthrogryposis,arthrogryposis,HP:0002804,False
articulation problems,None detected,None,False
asymmetric proximal muscle weakness,proximal muscle weakness,HP:0003701,False
asymmetric resting tremor,resting tremor,HP:0002322,False
asymmetric tremor,tremor,HP:0001337,False
asymmetric weakness,None detected,None,False
ataxia,ataxia,HP:0001251,False
ataxia of the arms,ataxia,HP:0001251,False
ataxia of the upper limbs,ataxia,HP:0001251,False
ataxic episodes,None detected,None,False
ataxic gait,ataxic gait,HP:0002066,False
ataxic movements,None detected,None,False
athetoid movements,athetoid movements,HP:0002305,False
athetosis,athetosis,HP:0002305,False
atonia,None detected,None,False
atonic seizures,atonic seizures,HP:0010819,False
atrophic optic discs,None detected,None,False
atrophy,None detected,None,False
atrophy in the intrinsic hand muscles,None detected,None,False
atrophy of all extremities,None detected,None,False
atrophy of hand muscles,None detected,None,False
atrophy of intrinsic hand muscles,None detected,None,False
atrophy of lower limb muscles,None detected,None,False
atrophy of lower limbs,None detected,None,False
atrophy of peroneal muscles,None detected,None,False
atrophy of the anterior tibial peroneal muscles,None detected,None,False
atrophy of the distal limb muscles,None detected,None,False
atrophy of the distal lower limb muscles,None detected,None,False
atrophy of the distal muscles of the forearm,None detected,None,False
atrophy of the hand muscles,None detected,None,False
atrophy of the intrinsic foot muscles,None detected,None,False
